# repetition_set	DC_control_TGAC_set	DC_control_DFL_set	DC_voltage_6_0_0
# "Repetition"	"TGAC"	"DFL"	"DC voltage"
# 4	125	75
0	0.052	0.595	-0.00363048752574964
0	0.052	0.597027027027027	-0.00354924849317162
0	0.052	0.599054054054054	-0.00383868162050815
0	0.052	0.601081081081081	-0.00472840466926073
0	0.052	0.603108108108108	-0.00513099870298317
0	0.052	0.605135135135135	-0.00534462500953692
0	0.052	0.607162162162162	-0.00367394522011141
0	0.052	0.609189189189189	-0.00370812542916003
0	0.052	0.611216216216216	-0.00221768520637831
0	0.052	0.613243243243243	-0.00259879453727019
0	0.052	0.61527027027027	-0.000107240405890018
0	0.052	0.617297297297297	0.00222500953688864
0	0.052	0.619324324324324	0.00587801937895776
0	0.052	0.621351351351352	0.00983755245288772
0	0.052	0.623378378378379	0.0225644922560463
0	0.052	0.625405405405406	0.0755465629053178
0	0.052	0.627432432432433	0.202559426260777
0	0.052	0.62945945945946	0.266092011902037
0	0.052	0.631486486486487	0.281395529106584
0	0.052	0.633513513513514	0.275594598306249
0	0.052	0.635540540540541	0.243257007705806
0	0.052	0.637567567567568	0.18514802777142
0	0.052	0.639594594594595	0.112336247806516
0	0.052	0.641621621621622	0.067322743572137
0	0.052	0.643648648648649	0.0407765621423666
0	0.052	0.645675675675676	0.0128375371938658
0	0.052	0.647702702702703	0.0221048905165178
0	0.052	0.64972972972973	0.0469486533913175
0	0.052	0.651756756756757	0.146327855344473
0	0.052	0.653783783783784	0.266607034409094
0	0.052	0.655810810810811	0.300611703669795
0	0.052	0.657837837837838	0.31902952620737
0	0.052	0.659864864864865	0.310712993057145
0	0.052	0.661891891891892	0.256257389181354
0	0.052	0.663918918918919	0.175123094529641
0	0.052	0.665945945945946	0.10989163042649
0	0.052	0.667972972972973	0.0765902189669642
0	0.052	0.67	0.0431502555886167
0	0.052	0.672027027027027	0.026654642557412
0	0.052	0.674054054054054	0.0196554512855725
0	0.052	0.676081081081081	0.0146799725337605
0	0.052	0.678108108108108	0.00952559700923167
0	0.052	0.680135135135135	0.0934966048676281
0	0.052	0.682162162162162	0.0534879377431906
0	0.052	0.684189189189189	0.0332480659189745
0	0.052	0.686216216216216	0.0206577859159227
0	0.052	0.688243243243243	0.0144731212329289
0	0.052	0.69027027027027	0.0115947203784237
0	0.052	0.692297297297297	0.00707975890745399
0	0.052	0.694324324324324	0.00325096513313493
0	0.052	0.696351351351352	0.00326848249027234
0	0.052	0.698378378378379	0.00140419623102155
0	0.052	0.700405405405406	-0.000134462500953724
0	0.052	0.702432432432433	-0.000468940260929309
